rateL,latent_size,loss,paths
1,128,0.00010720636055339128,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-08_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_latent_size=128/
1,16,0.00011476411600597203,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-08_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_latent_size=16/
39,16,4.637505298887845e-06,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-08_learning_rate=1.00E-03_noise=0.00E+00_rateL=39_seed=0_latent_size=16/
1,128,0.0006933244876563549,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_latent_size=128/
1,2,8.940958650782704e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_latent_size=2/
39,128,0.00038192086503840983,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_latent_size=128/
39,2,2.6541214538156055e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-08_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_latent_size=2/
39,2,5.046607576275619e-09,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=39_seed=0_latent_size=2/
1,16,0.00012571021215990186,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_latent_size=16/
39,16,4.637505298887845e-06,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-08_learning_rate=1.00E-03_noise=0.00E+00_rateL=39_seed=0_latent_size=16/
1,64,1.9600422092480585e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=1_seed=0_latent_size=64/
39,2,2.6311292458558455e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_fr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_latent_size=2/
