hashname,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
50d592ec,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
a11c8872,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
50d592ec,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
012a3935,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f6d6e2ec,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
2752b51b,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
9fb04573,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f79e0783,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7059fe67,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
cc164747,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
83e92313,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7bba11d7,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
259a0163,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
83e92313,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
cc164747,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7059fe67,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f79e0783,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7bba11d7,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
259a0163,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f741e874,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
9cc4086f,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
a5d99819,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
bc117a87,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
139f0ce9,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
bd5f9f30,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
9cc4086f,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f741e874,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
a5d99819,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
139f0ce9,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
bc117a87,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
bd5f9f30,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
17674d60,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
17674d60,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
1a48ba60,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
1a48ba60,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
5ed71445,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
c5437787,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
5ed71445,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
c5437787,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
685fd0ab,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
685fd0ab,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
da23dded,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
da23dded,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
0346e5e1,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
